ElementID,Name,Abstract Data Type,Data Type Semantics
0,Reserved,,
1,octetDeltaCount,unsigned64,deltaCounter
2,packetDeltaCount,unsigned64,deltaCounter
3,deltaFlowCount,unsigned64,deltaCounter
4,protocolIdentifier,unsigned8,identifier
5,ipClassOfService,unsigned8,identifier
6,tcpControlBits,unsigned16,flags
7,sourceTransportPort,unsigned16,identifier
8,sourceIPv4Address,ipv4Address,default
9,sourceIPv4PrefixLength,unsigned8,
10,ingressInterface,unsigned32,identifier
11,destinationTransportPort,unsigned16,identifier
12,destinationIPv4Address,ipv4Address,default
13,destinationIPv4PrefixLength,unsigned8,
14,egressInterface,unsigned32,identifier
15,ipNextHopIPv4Address,ipv4Address,default
16,bgpSourceAsNumber,unsigned32,identifier
17,bgpDestinationAsNumber,unsigned32,identifier
18,bgpNextHopIPv4Address,ipv4Address,default
19,postMCastPacketDeltaCount,unsigned64,deltaCounter
20,postMCastOctetDeltaCount,unsigned64,deltaCounter
21,flowEndSysUpTime,unsigned32,
22,flowStartSysUpTime,unsigned32,
23,postOctetDeltaCount,unsigned64,deltaCounter
24,postPacketDeltaCount,unsigned64,deltaCounter
25,minimumIpTotalLength,unsigned64,
26,maximumIpTotalLength,unsigned64,
27,sourceIPv6Address,ipv6Address,default
28,destinationIPv6Address,ipv6Address,default
29,sourceIPv6PrefixLength,unsigned8,
30,destinationIPv6PrefixLength,unsigned8,
31,flowLabelIPv6,unsigned32,identifier
32,icmpTypeCodeIPv4,unsigned16,identifier
33,igmpType,unsigned8,identifier
34,samplingInterval,unsigned32,quantity
35,samplingAlgorithm,unsigned8,identifier
36,flowActiveTimeout,unsigned16,
37,flowIdleTimeout,unsigned16,
38,engineType,unsigned8,identifier
39,engineId,unsigned8,identifier
40,exportedOctetTotalCount,unsigned64,totalCounter
41,exportedMessageTotalCount,unsigned64,totalCounter
42,exportedFlowRecordTotalCount,unsigned64,totalCounter
43,ipv4RouterSc,ipv4Address,default
44,sourceIPv4Prefix,ipv4Address,default
45,destinationIPv4Prefix,ipv4Address,default
46,mplsTopLabelType,unsigned8,identifier
47,mplsTopLabelIPv4Address,ipv4Address,default
48,samplerId,unsigned8,identifier
49,samplerMode,unsigned8,identifier
50,samplerRandomInterval,unsigned32,quantity
51,classId,unsigned8,identifier
52,minimumTTL,unsigned8,
53,maximumTTL,unsigned8,
54,fragmentIdentification,unsigned32,identifier
55,postIpClassOfService,unsigned8,identifier
56,sourceMacAddress,macAddress,default
57,postDestinationMacAddress,macAddress,default
58,vlanId,unsigned16,identifier
59,postVlanId,unsigned16,identifier
60,ipVersion,unsigned8,identifier
61,flowDirection,unsigned8,identifier
62,ipNextHopIPv6Address,ipv6Address,default
63,bgpNextHopIPv6Address,ipv6Address,default
64,ipv6ExtensionHeaders,unsigned32,flags
70,mplsTopLabelStackSection,octetArray,default
71,mplsLabelStackSection2,octetArray,default
72,mplsLabelStackSection3,octetArray,default
73,mplsLabelStackSection4,octetArray,default
74,mplsLabelStackSection5,octetArray,default
75,mplsLabelStackSection6,octetArray,default
76,mplsLabelStackSection7,octetArray,default
77,mplsLabelStackSection8,octetArray,default
78,mplsLabelStackSection9,octetArray,default
79,mplsLabelStackSection10,octetArray,default
80,destinationMacAddress,macAddress,default
81,postSourceMacAddress,macAddress,default
82,interfaceName,string,default
83,interfaceDescription,string,default
84,samplerName,string,
85,octetTotalCount,unsigned64,totalCounter
86,packetTotalCount,unsigned64,totalCounter
87,flagsAndSamplerId,unsigned32,identifier
88,fragmentOffset,unsigned16,quantity
89,forwardingStatus,unsigned8,identifier
90,mplsVpnRouteDistinguisher,octetArray,default
91,mplsTopLabelPrefixLength,unsigned8,quantity
92,srcTrafficIndex,unsigned32,identifier
93,dstTrafficIndex,unsigned32,identifier
94,applicationDescription,string,default
95,applicationId,octetArray,default
96,applicationName,string,default
97,Assigned for NetFlow v9 compatibility,,
98,postIpDiffServCodePoint,unsigned8,identifier
99,multicastReplicationFactor,unsigned32,quantity
100,className,string,
101,classificationEngineId,unsigned8,identifier
102,layer2packetSectionOffset,unsigned16,quantity
103,layer2packetSectionSize,unsigned16,quantity
104,layer2packetSectionData,octetArray,
128,bgpNextAdjacentAsNumber,unsigned32,identifier
129,bgpPrevAdjacentAsNumber,unsigned32,identifier
130,exporterIPv4Address,ipv4Address,default
131,exporterIPv6Address,ipv6Address,default
132,droppedOctetDeltaCount,unsigned64,deltaCounter
133,droppedPacketDeltaCount,unsigned64,deltaCounter
134,droppedOctetTotalCount,unsigned64,totalCounter
135,droppedPacketTotalCount,unsigned64,totalCounter
136,flowEndReason,unsigned8,identifier
137,commonPropertiesId,unsigned64,identifier
138,observationPointId,unsigned64,identifier
139,icmpTypeCodeIPv6,unsigned16,identifier
140,mplsTopLabelIPv6Address,ipv6Address,default
141,lineCardId,unsigned32,identifier
142,portId,unsigned32,identifier
143,meteringProcessId,unsigned32,identifier
144,exportingProcessId,unsigned32,identifier
145,templateId,unsigned16,identifier
146,wlanChannelId,unsigned8,identifier
147,wlanSSID,string,default
